Rank,Title,Previous Rank,CEO,Address,Website
189,DISH Network Corporation,191,Joseph P. Clayton,"9601 S. Meridian Blvd., Englewood, CO 80112",www.dish.com
190,"NextEra Energy, Inc.",172,James L. Robo,"700 Universe Blvd., Juno Beach, FL 33408",www.nexteraenergy.com
191,Omnicom Group Inc.,196,John D. Wren,"437 Madison Ave., New York, NY 10022",www.omnicomgroup.com
192,Kellogg Company,205,John A. Bryant,"1 Kellogg Sq., Battle Creek, MI 49016",www.kelloggcompany.com
193,Baxter International Inc.,195,Robert L. Parkinson Jr.,"1 Baxter Pkwy., Deerfield, IL 60015",www.baxter.com
194,"Land O’Lakes, Inc.",210,Christopher J. Policinski,"4001 Lexington Ave. N., Arden Hills, MN 55126",www.landolakesinc.com
195,"Coventry Health Care, Inc.",219,Allen F. Wise,"6720-B Rockledge Dr., Bethesda, MD 20817",www.coventryhealthcare.com
196,eBay Inc.,228,John J. Donahoe,"2145 Hamilton Ave., San Jose, CA 95125",www.ebayinc.com
197,"L-3 Communications Holdings, Inc.",174,Michael T. Strianese,"600 Third Ave., New York, NY 10016",www.l-3com.com
198,Viacom Inc.,177,Philippe P. Dauman,"1515 Broadway, New York, NY 10036",www.viacom.com
199,"US Airways Group, Inc.",208,W. Douglas Parker,"111 W. Rio Salado Pkwy., Tempe, AZ 85281",www.usairways.com
200,"Waste Management, Inc.",203,David P. Steiner,"1001 Fannin St., Houston, TX 77002",www.wm.com
201,"Yum! Brands, Inc.",213,David C. Novak,"1441 Gardiner Lane, Louisville, KY 40213",www.yum.com
202,The Chubb Corporation,202,John D. Finnegan,"15 Mountain View Rd., Warren, NJ 7059",www.chubb.com
203,"Penske Automotive Group, Inc.",222,Roger S. Penske,"2555 Telegraph Rd., Bloomfield Hills, MI 48302",www.penskeautomotive.com
204,"Toys “R” Us, Inc.",194,Gerald L. Storch,"1 Geoffrey Way, Wayne, NJ 7470",www.toysrusinc.com
205,Aramark Corporation,204,Eric J. Foss,"1101 Market St., Philadelphia, PA 19107",www.aramark.com
206,Monsanto Company,224,Hugh Grant,"800 N. Lindbergh Blvd., St. Louis, MO 63167",www.monsanto.com
207,Anadarko Petroleum Corporation,192,R. A. Walker,"1201 Lake Robbins Dr., The Woodlands, TX 77380",www.anadarko.com
208,Starbucks Corporation,227,Howard D. Schultz,"2401 Utah Ave. S., Seattle, WA 98134",www.starbucks.com
209,"ConAgra Foods, Inc.",215,Gary M. Rodkin,"1 ConAgra Dr., Omaha, NE 68102",www.conagrafoods.com
210,"Dominion Resources, Inc.",187,Thomas F. Farrell II,"120 Tredegar St., Richmond, VA 23219",www.dom.com
211,Parker-Hannifin Corporation,216,Donald E. Washkewicz,"6035 Parkland Blvd., Cleveland, OH 44124",www.parker.com
212,Edison International,211,Theodore F. Craver Jr.,"2244 Walnut Grove Ave., Rosemead, CA 91770",www.edisoninvestor.com
213,"Smithfield Foods, Inc.",218,C. Larry Pope,"200 Commerce St., Smithfield, VA 23430",www.smithfieldfoods.com
214,Genuine Parts Company,214,Thomas C. Gallagher,"2999 Circle 75 Pkwy., Atlanta, GA 30339",www.genpt.com
215,"J.C. Penney Company, Inc.",153,Myron E. Ullman III,"6501 Legacy Dr., Plano, TX 75024",www.jcpenney.com
216,Navistar International Corporation,193,Troy A. Clarke,"2701 Navistar Dr., Lisle, IL 60532",www.navistar.com
217,Dean Foods Company,207,Gregg A. Tanner,"2711 N. Haskell Ave., Dallas, TX 75204",www.deanfoods.com
218,Texas Instruments Incorporated,200,Richard K. Templeton,"12500 TI Blvd., Dallas, TX 75243",www.ti.com
219,"Oneok, Inc.",175,John W. Gibson,"100 W. Fifth St., Tulsa, OK 74103",www.oneok.com
220,Thermo Fisher Scientific Inc.,225,Marc N. Casper,"81 Wyman St., Waltham, MA 2451",www.thermofisher.com
221,Ally Financial Inc.,201,Michael A. Carpenter,"200 Renaissance Center, Detroit, MI 48243",www.ally.com
222,Western Digital Corporation,276,Stephen D. Milligan,"3355 Michelson Dr., Irvine, CA 92612",www.westerndigital.com
223,Chesapeake Energy Corporation,229,Steven C. Dixon,"6100 N. Western Ave., Oklahoma City, OK 73118",www.chk.com
224,PPL Corporation,212,William H. Spence,"2 N. Ninth St., Allentown, PA 18101",www.pplweb.com
225,Textron Inc.,236,Scott C. Donnelly,"40 Westminster St., Providence, RI 2903",www.textron.com
226,"Consolidated Edison, Inc.",209,Kevin Burke,"4 Irving Place, New York, NY 10003",www.conedison.com
227,"Nordstrom, Inc.",242,Blake W. Nordstrom,"1617 Sixth Ave., Seattle, WA 98101",www.nordstrom.com
228,"Marsh & McLennan Companies, Inc.",231,Daniel S. Glaser,"1166 Ave. of the Americas, New York, NY 10036",www.mmc.com
229,Ecolab Inc.,365,Douglas M. Baker Jr.,"370 Wabasha St. N., St. Paul, MN 55102",www.ecolab.com
230,"Marriott International, Inc.",217,Arne M. Sorenson,"10400 Fernwood Rd., Bethesda, MD 20817",www.marriott.com
231,CSX Corporation,226,Michael J. Ward,"500 Water St., Jacksonville, FL 32202",www.csx.com
232,"Whole Foods Market, Inc.",264,John P. Mackey,"550 Bowie St., Austin, TX 78703",www.wholefoodsmarket.com
233,"EOG Resources, Inc.",263,Mark G. Papa,"1111 Bagby St., Houston, TX 77002",www.eogresources.com
234,H.J. Heinz Company,244,William R. Johnson,"1 PPG Place, Pittsburgh, PA 15222",www.heinz.com
235,Lincoln National Corporation,247,Dennis R. Glass,"150 N. Radnor Chester Rd., Radnor, PA 19087",www.lfg.com
236,"Health Net, Inc.",221,Jay M. Gellert,"21650 Oxnard St., Woodland Hills, CA 91367",www.healthnet.com
237,"C. H. Robinson Worldwide, Inc.",259,John P. Wiehoff,"14701 Charlson Rd., Eden Prairie, MN 55347",www.chrobinson.com
238,Guardian Life Ins. Co. of America,250,Deanna M. Mulligan,"7 Hanover Sq., New York, NY 10004",www.guardianlife.com
